Row ID,Order ID,Order Date,Year,Ship Mode,Customer ID,Segment,Country,City,State,Postal Code,Region,Product ID,Sales Amount,Quantity,Discount,Profit,SalesPerson
1,CA-2016-152156,08-11-2020,2020,Second Class,CG-12520,Consumer,United States,Henderson,Kentucky,42420,South,FUR-BO-10001798,261.96,2,0,41.9136,SP_202
2,CA-2016-152156,08-11-2020,2020,Second Class,CG-12520,Consumer,United States,Henderson,Kentucky,42420,South,FUR-CH-10000454,731.94,3,0,219.582,SP_430
3,CA-2016-138688,12-06-2020,2020,Second Class,DV-13045,Corporate,United States,Los Angeles,California,90036,West,OFF-LA-10000240,14.62,2,0,6.8714,SP_344
4,US-2015-108966,11-10-2019,2019,Standard Class,SO-20335,Consumer,United States,Fort Lauderdale,Florida,33311,South,FUR-TA-10000577,957.5775,5,0.45,-383.031,SP_388
5,US-2015-108966,11-10-2019,2019,Standard Class,SO-20335,Consumer,United States,Fort Lauderdale,Florida,33311,South,OFF-ST-10000760,22.368,2,0.2,2.5164,SP_441
6,CA-2014-115812,09-06-2018,2018,Standard Class,BH-11710,Consumer,United States,Los Angeles,California,90032,West,FUR-FU-10001487,48.86,7,0,14.1694,SP_295
7,CA-2014-115812,09-06-2018,2018,Standard Class,BH-11710,Consumer,United States,Los Angeles,California,90032,West,OFF-AR-10002833,7.28,4,0,1.9656,SP_63
8,CA-2014-115812,09-06-2018,2018,Standard Class,BH-11710,Consumer,United States,Los Angeles,California,90032,West,TEC-PH-10002275,907.152,6,0.2,90.7152,SP_62
9,CA-2014-115812,09-06-2018,2018,Standard Class,BH-11710,Consumer,United States,Los Angeles,California,90032,West,OFF-BI-10003910,18.504,3,0.2,5.7825,SP_101
10,CA-2014-115812,09-06-2018,2018,Standard Class,BH-11710,Consumer,United States,Los Angeles,California,90032,West,OFF-AP-10002892,114.9,5,0,34.47,SP_92
11,CA-2014-115812,09-06-2018,2018,Standard Class,BH-11710,Consumer,United States,Los Angeles,California,90032,West,FUR-TA-10001539,1706.184,9,0.2,85.3092,SP_313
12,CA-2014-115812,09-06-2018,2018,Standard Class,BH-11710,Consumer,United States,Los Angeles,California,90032,West,TEC-PH-10002033,911.424,4,0.2,68.3568,SP_320
13,CA-2017-114412,15-04-2021,2021,Standard Class,AA-10480,Consumer,United States,Concord,North Carolina,28027,South,OFF-PA-10002365,15.552,3,0.2,5.4432,SP_129
14,CA-2016-161389,05-12-2020,2020,Standard Class,IM-15070,Consumer,United States,Seattle,Washington,98103,West,OFF-BI-10003656,407.976,3,0.2,132.5922,SP_317
15,US-2015-118983,22-11-2019,2019,Standard Class,HP-14815,Home Office,United States,Fort Worth,Texas,76106,Central,OFF-AP-10002311,68.81,5,0.8,-123.858,SP_72
16,US-2015-118983,22-11-2019,2019,Standard Class,HP-14815,Home Office,United States,Fort Worth,Texas,76106,Central,OFF-BI-10000756,2.544,3,0.8,-3.816,SP_242
17,CA-2014-105893,11-11-2018,2018,Standard Class,PK-19075,Consumer,United States,Madison,Wisconsin,53711,Central,OFF-ST-10004186,665.88,6,0,13.3176,SP_192
18,CA-2014-167164,13-05-2018,2018,Second Class,AG-10270,Consumer,United States,West Jordan,Utah,84084,West,OFF-ST-10000107,55.5,2,0,9.99,SP_272
19,CA-2014-143336,27-08-2018,2018,Second Class,ZD-21925,Consumer,United States,San Francisco,California,94109,West,OFF-AR-10003056,8.56,2,0,2.4824,SP_336
20,CA-2014-143336,27-08-2018,2018,Second Class,ZD-21925,Consumer,United States,San Francisco,California,94109,West,TEC-PH-10001949,213.48,3,0.2,16.011,SP_403
21,CA-2014-143336,27-08-2018,2018,Second Class,ZD-21925,Consumer,United States,San Francisco,California,94109,West,OFF-BI-10002215,22.72,4,0.2,7.384,SP_294
22,CA-2016-137330,09-12-2020,2020,Standard Class,KB-16585,Corporate,United States,Fremont,Nebraska,68025,Central,OFF-AR-10000246,19.46,7,0,5.0596,SP_199
23,CA-2016-137330,09-12-2020,2020,Standard Class,KB-16585,Corporate,United States,Fremont,Nebraska,68025,Central,OFF-AP-10001492,60.34,7,0,15.6884,SP_98
24,US-2017-156909,16-07-2021,2021,Second Class,SF-20065,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-CH-10002774,71.372,2,0.3,-1.0196,SP_343
25,CA-2015-106320,25-09-2019,2019,Standard Class,EB-13870,Consumer,United States,Orem,Utah,84057,West,FUR-TA-10000577,1044.63,3,0,240.2649,SP_236
26,CA-2016-121755,16-01-2020,2020,Second Class,EH-13945,Consumer,United States,Los Angeles,California,90049,West,OFF-BI-10001634,11.648,2,0.2,4.2224,SP_254
27,CA-2016-121755,16-01-2020,2020,Second Class,EH-13945,Consumer,United States,Los Angeles,California,90049,West,TEC-AC-10003027,90.57,3,0,11.7741,SP_81
