State,Year,Month,Target
District of Columbia,2019,1,8
District of Columbia,2019,2,8
District of Columbia,2019,3,8
District of Columbia,2019,4,8
District of Columbia,2019,5,8
District of Columbia,2019,6,8
District of Columbia,2019,7,8
District of Columbia,2019,8,8
District of Columbia,2019,9,8
District of Columbia,2019,10,8
District of Columbia,2019,11,8
District of Columbia,2019,12,8
Iowa,2019,1,8
Iowa,2019,2,8
Iowa,2019,3,8
Iowa,2019,4,8
Iowa,2019,5,8
Iowa,2019,6,8
Iowa,2019,7,8
Iowa,2019,8,8
Iowa,2019,9,8
Iowa,2019,10,8
Iowa,2019,11,8
Iowa,2019,12,8
Kansas,2019,1,8
Kansas,2019,2,8
Kansas,2019,3,8
Kansas,2019,4,8
Kansas,2019,5,8
Kansas,2019,6,8
Kansas,2019,7,8
Kansas,2019,8,8
Kansas,2019,9,8
Kansas,2019,10,8
Kansas,2019,11,8
Kansas,2019,12,8
New York,2019,1,8
New York,2019,2,8
New York,2019,3,8
New York,2019,4,8
New York,2019,5,8
New York,2019,6,8
New York,2019,7,8
New York,2019,8,8
New York,2019,9,8
New York,2019,10,8
New York,2019,11,8
New York,2019,12,8
Maine,2019,1,8
Maine,2019,2,8
Maine,2019,3,8
Maine,2019,4,8
Maine,2019,5,8
Maine,2019,6,8
Maine,2019,7,8
Maine,2019,8,8
Maine,2019,9,8
Maine,2019,10,8
Maine,2019,11,8
Maine,2019,12,8
Wyoming,2019,1,8
Wyoming,2019,2,8
Wyoming,2019,3,8
Wyoming,2019,4,8
Wyoming,2019,5,8
Wyoming,2019,6,8
Wyoming,2019,7,8
Wyoming,2019,8,8
Wyoming,2019,9,8
Wyoming,2019,10,8
Wyoming,2019,11,8
Wyoming,2019,12,8
District of Columbia,2020,1,8
District of Columbia,2020,2,8
District of Columbia,2020,3,8
District of Columbia,2020,4,8
District of Columbia,2020,5,8
District of Columbia,2020,6,8
District of Columbia,2020,7,8
District of Columbia,2020,8,8
District of Columbia,2020,9,8
District of Columbia,2020,10,8
District of Columbia,2020,11,8
District of Columbia,2020,12,8
Iowa,2020,1,8
Iowa,2020,2,8
Iowa,2020,3,8
Iowa,2020,4,8
Iowa,2020,5,8
Iowa,2020,6,8
Iowa,2020,7,8
Iowa,2020,8,8
Iowa,2020,9,8
Iowa,2020,10,8
Iowa,2020,11,8
Iowa,2020,12,8
Kansas,2020,1,8
Kansas,2020,2,8
Kansas,2020,3,8
Kansas,2020,4,8
Kansas,2020,5,8
Kansas,2020,6,8
Kansas,2020,7,8
Kansas,2020,8,8
Kansas,2020,9,8
Kansas,2020,10,8
Kansas,2020,11,8
Kansas,2020,12,8
New York,2020,1,8
New York,2020,2,8
New York,2020,3,8
New York,2020,4,8
New York,2020,5,8
New York,2020,6,8
New York,2020,7,8
New York,2020,8,8
New York,2020,9,8
New York,2020,10,8
New York,2020,11,8
New York,2020,12,8
Maine,2020,1,8
Maine,2020,2,8
Maine,2020,3,8
Maine,2020,4,8
Maine,2020,5,8
Maine,2020,6,8
Maine,2020,7,8
Maine,2020,8,8
Maine,2020,9,8
Maine,2020,10,8
Maine,2020,11,8
Maine,2020,12,8
Wyoming,2020,1,8
Wyoming,2020,2,8
Wyoming,2020,3,8
Wyoming,2020,4,8
Wyoming,2020,5,8
Wyoming,2020,6,8
Wyoming,2020,7,8
Wyoming,2020,8,8
Wyoming,2020,9,8
Wyoming,2020,10,8
Wyoming,2020,11,8
Wyoming,2020,12,8
Vermont,2018,1,8
Vermont,2018,2,8
Vermont,2018,3,8
Vermont,2018,4,8
Vermont,2018,5,8
Vermont,2018,6,8
Vermont,2018,7,8
Vermont,2018,8,8
Vermont,2018,9,8
Vermont,2018,10,8
Vermont,2018,11,8
Vermont,2018,12,8
North Dakota,2018,1,8
North Dakota,2018,2,8
North Dakota,2018,3,8
North Dakota,2018,4,8
North Dakota,2018,5,8
North Dakota,2018,6,8
North Dakota,2018,7,8
North Dakota,2018,8,8
North Dakota,2018,9,8
North Dakota,2018,10,8
North Dakota,2018,11,8
North Dakota,2018,12,8
West Virginia,2018,1,8
West Virginia,2018,2,8
West Virginia,2018,3,8
West Virginia,2018,4,8
West Virginia,2018,5,8
West Virginia,2018,6,8
West Virginia,2018,7,8
West Virginia,2018,8,8
West Virginia,2018,9,8
West Virginia,2018,10,8
West Virginia,2018,11,8
West Virginia,2018,12,8
District of Columbia,2021,1,8
District of Columbia,2021,2,8
District of Columbia,2021,3,8
District of Columbia,2021,4,8
District of Columbia,2021,5,8
District of Columbia,2021,6,8
District of Columbia,2021,7,8
District of Columbia,2021,8,8
District of Columbia,2021,9,8
District of Columbia,2021,10,8
District of Columbia,2021,11,8
District of Columbia,2021,12,8
Iowa,2021,1,8
Iowa,2021,2,8
Iowa,2021,3,8
Iowa,2021,4,8
Iowa,2021,5,8
Iowa,2021,6,8
Iowa,2021,7,8
Iowa,2021,8,8
Iowa,2021,9,8
Iowa,2021,10,8
Iowa,2021,11,8
Iowa,2021,12,8
Kansas,2021,1,8
Kansas,2021,2,8
Kansas,2021,3,8
Kansas,2021,4,8
Kansas,2021,5,8
Kansas,2021,6,8
Kansas,2021,7,8
Kansas,2021,8,8
Kansas,2021,9,8
Kansas,2021,10,8
Kansas,2021,11,8
Kansas,2021,12,8
Maine,2021,1,8
Maine,2021,2,8
Maine,2021,3,8
Maine,2021,4,8
Maine,2021,5,8
Maine,2021,6,8
Maine,2021,7,8
Maine,2021,8,8
Maine,2021,9,8
Maine,2021,10,8
Maine,2021,11,8
Maine,2021,12,8
Wyoming,2018,1,8
Wyoming,2018,2,8
Wyoming,2018,3,8
Wyoming,2018,4,8
Wyoming,2018,5,8
Wyoming,2018,6,8
Wyoming,2018,7,8
Wyoming,2018,8,8
Wyoming,2018,9,8
Wyoming,2018,10,8
Wyoming,2018,11,8
Wyoming,2018,12,8
Wyoming,2021,1,8
Wyoming,2021,2,8
Wyoming,2021,3,8
Wyoming,2021,4,8
Wyoming,2021,5,8
Wyoming,2021,6,8
Wyoming,2021,7,8
Wyoming,2021,8,8
Wyoming,2021,9,8
Wyoming,2021,10,8
Wyoming,2021,11,8
Wyoming,2021,12,8
Minnesota,2018,1,833
Minnesota,2018,2,833
Minnesota,2018,3,833
Minnesota,2018,4,833
Minnesota,2018,5,833
Minnesota,2018,6,833
Minnesota,2018,7,833
Minnesota,2018,8,833
Minnesota,2018,9,833
Minnesota,2018,10,833
Minnesota,2018,11,833
Minnesota,2018,12,833
Massachusetts,2018,1,833
Massachusetts,2018,2,833
Massachusetts,2018,3,833
Massachusetts,2018,4,833
Massachusetts,2018,5,833
Massachusetts,2018,6,833
Massachusetts,2018,7,833
Massachusetts,2018,8,833
Massachusetts,2018,9,833
Massachusetts,2018,10,833
Massachusetts,2018,11,833
Massachusetts,2018,12,833
Indiana,2019,1,833
Indiana,2019,2,833
Indiana,2019,3,833
Indiana,2019,4,833
Indiana,2019,5,833
Indiana,2019,6,833
Indiana,2019,7,833
Indiana,2019,8,833
Indiana,2019,9,833
Indiana,2019,10,833
Indiana,2019,11,833
Indiana,2019,12,833
Georgia,2019,1,833
Georgia,2019,2,833
Georgia,2019,3,833
Georgia,2019,4,833
Georgia,2019,5,833
Georgia,2019,6,833
Georgia,2019,7,833
Georgia,2019,8,833
Georgia,2019,9,833
Georgia,2019,10,833
Georgia,2019,11,833
Georgia,2019,12,833
Ohio,2018,1,833
Ohio,2018,2,833
Ohio,2018,3,833
Ohio,2018,4,833
Ohio,2018,5,833
Ohio,2018,6,833
Ohio,2018,7,833
Ohio,2018,8,833
Ohio,2018,9,833
Ohio,2018,10,833
Ohio,2018,11,833
Ohio,2018,12,833
Ohio,2019,1,833
Ohio,2019,2,833
Ohio,2019,3,833
Ohio,2019,4,833
Ohio,2019,5,833
Ohio,2019,6,833
Ohio,2019,7,833
Ohio,2019,8,833
Ohio,2019,9,833
Ohio,2019,10,833
Ohio,2019,11,833
Ohio,2019,12,833
Illinois,2018,1,833
Illinois,2018,2,833
Illinois,2018,3,833
Illinois,2018,4,833
Illinois,2018,5,833
Illinois,2018,6,833
Illinois,2018,7,833
Illinois,2018,8,833
Illinois,2018,9,833
Illinois,2018,10,833
Illinois,2018,11,833
Illinois,2018,12,833
New Jersey,2021,1,833
New Jersey,2021,2,833
New Jersey,2021,3,833
New Jersey,2021,4,833
New Jersey,2021,5,833
New Jersey,2021,6,833
New Jersey,2021,7,833
New Jersey,2021,8,833
New Jersey,2021,9,833
New Jersey,2021,10,833
New Jersey,2021,11,833
New Jersey,2021,12,833
Colorado,2021,1,833
Colorado,2021,2,833
Colorado,2021,3,833
Colorado,2021,4,833
Colorado,2021,5,833
Colorado,2021,6,833
Colorado,2021,7,833
Colorado,2021,8,833
Colorado,2021,9,833
Colorado,2021,10,833
Colorado,2021,11,833
Colorado,2021,12,833
Arizona,2021,1,833
Arizona,2021,2,833
Arizona,2021,3,833
Arizona,2021,4,833
Arizona,2021,5,833
Arizona,2021,6,833
Arizona,2021,7,833
Arizona,2021,8,833
Arizona,2021,9,833
Arizona,2021,10,833
Arizona,2021,11,833
Arizona,2021,12,833
Delaware,2021,1,833
Delaware,2021,2,833
Delaware,2021,3,833
Delaware,2021,4,833
Delaware,2021,5,833
Delaware,2021,6,833
Delaware,2021,7,833
Delaware,2021,8,833
Delaware,2021,9,833
Delaware,2021,10,833
Delaware,2021,11,833
Delaware,2021,12,833
Kentucky,2021,1,833
Kentucky,2021,2,833
Kentucky,2021,3,833
Kentucky,2021,4,833
Kentucky,2021,5,833
Kentucky,2021,6,833
Kentucky,2021,7,833
Kentucky,2021,8,833
Kentucky,2021,9,833
Kentucky,2021,10,833
Kentucky,2021,11,833
Kentucky,2021,12,833
Tennessee,2021,1,833
Tennessee,2021,2,833
Tennessee,2021,3,833
Tennessee,2021,4,833
Tennessee,2021,5,833
Tennessee,2021,6,833
Tennessee,2021,7,833
Tennessee,2021,8,833
Tennessee,2021,9,833
Tennessee,2021,10,833
Tennessee,2021,11,833
Tennessee,2021,12,833
New Jersey,2020,1,833
New Jersey,2020,2,833
New Jersey,2020,3,833
New Jersey,2020,4,833
New Jersey,2020,5,833
New Jersey,2020,6,833
New Jersey,2020,7,833
New Jersey,2020,8,833
New Jersey,2020,9,833
New Jersey,2020,10,833
New Jersey,2020,11,833
New Jersey,2020,12,833
